id,score,overall_length,distinct_words_count,theme_gender_count,theme_gender_bool,theme_ethnicity_count,theme_ethnicity_bool,theme_sexuality_count,theme_sexuality_bool,theme_ability_count,theme_ability_bool,theme_age_count,theme_age_bool,theme_weight_count,theme_weight_bool,theme_appearance_count,theme_appearance_bool,theme_class_count,theme_class_bool,themes_found
2bf40j,3.0,12,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bf1w1,18.0,276,65,13,True,0,False,0,False,0,False,0,False,0,False,5,True,9,True,"[('gender', 13), ('class', 9), ('appearance', 5)]"
2bf0iq,307.0,105,46,1,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,"[('gender', 1), ('sexuality', 1), ('appearance', 1)]"
2bf0hj,0.0,82,34,2,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 2), ('sexuality', 1)]"
2bf0c3,0.0,8,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bezil,0.0,17,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bevus,4.0,76,28,3,True,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('gender', 3), ('ability', 1)]"
2beu02,0.0,19,10,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2betsk,0.0,23,15,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,"[('age', 1)]"
2berzz,0.0,13,7,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2berxq,2.0,11,5,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2ber3r,5.0,38,14,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2beqci,3.0,16,7,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bepzn,7.0,86,34,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('ability', 1)]"
2bep5x,126.0,233,83,6,True,3,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 6), ('ethnicity', 3)]"
2beokl,2.0,24,11,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2behno,0.0,157,50,0,False,0,False,0,False,0,False,1,True,1,True,1,True,2,True,"[('class', 2), ('age', 1), ('weight', 1), ('appearance', 1)]"
2beh99,2629.0,35,17,0,False,0,False,0,False,0,False,1,True,0,False,0,False,1,True,"[('age', 1), ('class', 1)]"
2bedxs,0.0,19,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2beacu,4.0,15,9,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2be8op,26.0,207,82,3,True,0,False,0,False,1,True,1,True,0,False,0,False,2,True,"[('gender', 3), ('class', 2), ('ability', 1), ('age', 1)]"
2be0u7,63.0,12,6,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bdxns,0.0,11,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdxl0,156.0,8,3,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('ability', 1)]"
2bdxb6,8.0,21,10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdvxv,1.0,9,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdsnc,0.0,38,18,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bdrpu,105.0,11,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,"[('class', 1)]"
2bdr05,21.0,280,96,8,True,0,False,0,False,0,False,1,True,0,False,3,True,0,False,"[('gender', 8), ('appearance', 3), ('age', 1)]"
2bdn5w,15.0,63,19,1,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 1), ('sexuality', 1)]"
2bdk74,0.0,25,6,4,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 4), ('sexuality', 1)]"
